===> multitime results
1: ./fib.ts
            Mean        Std.Dev.    Min         Median      Max
real        0.022       0.003       0.018       0.022       0.026       
user        0.010       0.001       0.009       0.010       0.011       
sys         0.012       0.001       0.011       0.011       0.014       
maxrss      54950       224         54644       54936       55272       
minflt      3756        1           3754        3757        3758        
majflt      0           0           0           0           0           
nswap       0           0           0           0           0           
inblock     0           0           0           0           0           
oublock     187         9           168         192         192         
msgsnd      0           0           0           0           0           
msgrcv      0           0           0           0           0           
nsignals    0           0           0           0           0           
nvcsw       55          3           50          56          60          
nivcsw      5           1           2           6           7           
