===> multitime results
1: ./rows.nu
            Mean        Std.Dev.    Min         Median      Max
real        0.942       0.032       0.900       0.932       0.997       
user        0.732       0.024       0.706       0.729       0.774       
sys         0.205       0.009       0.191       0.203       0.217       
maxrss      527409      350         526948      527660      527740      
minflt      146785      383         146588      146595      147553      
majflt      0           0           0           0           0           
nswap       0           0           0           0           0           
inblock     0           0           0           0           0           
oublock     0           0           0           0           0           
msgsnd      0           0           0           0           0           
msgrcv      0           0           0           0           0           
nsignals    0           0           0           0           0           
nvcsw       2           0           2           2           2           
nivcsw      31          20          10          18          61          
